Order State,State,Region
AE,AE,Other
ak,AK,Other
AK,AK,Other
AL,AL,East
ALABAMA,AL,East
Alaska,AK,Other
AR,AR,Central
Arizona,AZ,West
ARIZONA,AZ,West
Arkansas,AK,Other
AZ,AZ,West
CA,CA,West
ca,CA,West
Ca,CA,West
Ca.,CA,West
California,CA,West
CALIFORNIA,CA,West
california,CA,West
CO,CO,Central
co,CO,Central
Co,CO,Central
COLORADO,CO,Central
Colorado,CO,Central
CONNECTICUT,CT,East
Connecticut,CT,East
CT,CT,East
ct,CT,East
DC,DC,East
DE,DE,East
De,DE,East
Delaware,DE,East
District of Columbia,DC,East
FL,FL,East
fl,FL,East
Fl,FL,East
FLORIDA,FL,East
Florida,FL,East
GA,GA,East
Georgia,GA,East
GEORGIA,GA,East
HAWAII,HI,Other
Hawaii,HI,Other
HI,HI,Other
IA,IA,Central
ID,ID,West
IDAHO,ID,West
Idaho,ID,West
IL,IL,Central
il,IL,Central
Il,IL,Central
ILLINOIS,IL,Central
Illinois,IL,Central
illinois,IL,Central
IN,IN,Central
In,IN,Central
in,IN,Central
IN.,IN,Central
indiana,IN,Central
Indiana,IN,Central
INDIANA,IN,Central
IOWA,IA,Central
Iowa,IA,Central
KANSAS,KS,Central
KENTUCKY,KY,Central
KS,KS,Central
KY,KY,Central
Ky,KY,Central
KY.,KY,Central
LA,LA,Central
La,LA,Central
Louisiana,LA,Central
LOUISIANA,LA,Central
MA,MA,East
ma,MA,East
Ma,MA,East
MAINE,ME,East
Maryland,MD,East
MARYLAND,MD,East
Massachusetts,MA,East
MASSACHUSETTS,MA,East
MD,MD,East
ME,ME,East
MI,MI,Central
Mi,MI,Central
mi,MI,Central
Michigan,MI,Central
MICHIGAN,MI,Central
michigan,MI,Central
Minnesota,MN,Central
MINNESOTA,MN,Central
Missouri,MO,Central
MISSOURI,MO,Central
MN,MN,Central
Mn,MN,Central
MO,MO,Central
MONTANA,MT,West
MS,MS,Central
MT,MT,West
n.c.,NC,East
N.Y.,NY,East
NC,NC,East
nc,NC,East
ND,ND,Central
NE,NE,Central
Nebraska,NE,Central
NEVADA,NV,West
New Hampshire,NH,East
NEW JERSEY,NJ,East
New Jersey,NJ,East
new jersey,NJ,East
New Mexico,NM,West
NEW MEXICO,NM,West
NEW YORK,NY,East
New York,NY,East
new york,NY,East
NH,NH,East
nh,NH,East
NJ,NJ,East
nj,NJ,East
Nj,NJ,East
NM,NM,West
North Carolina,NC,East
NORTH CAROLINA,NC,East
NV,NV,West
NY,NY,East
ny,NY,East
Ny,NY,East
OH,OH,Central
oh,OH,Central
Ohio,OH,Central
OHIO,OH,Central
OK,OK,Central
ok,OK,Central
Ok,OK,Central
OKLAHOMA,OK,Central
Oklahoma,OK,Central
OR,OR,West
Or,OR,West
or,OR,West
Oregon,OR,West
OREGON,OR,West
PA,PA,East
pa,PA,East
Pa,PA,East
Pa.,PA,East
PENNSYLVANIA,PA,East
Pennsylvania,PA,East
PR,PR,Other
Puerto  Rico,PR,Other
puerto rico,PR,Other
Puerto Rico,PR,Other
RHODE ISLAND,RI,East
Rhode Island,RI,East
RI,RI,East
SC,SC,East
sc,SC,East
SD,SD,Central
South Carolina,SC,East
SOUTH CAROLINA,SC,East
TENNESSEE,TN,East
Tennessee,TN,East
TEXAS,TX,Central
Texas,TX,Central
texas,TX,Central
TN,TN,Central
tn,TN,Central
TX,TX,Central
Tx,TX,Central
tx,TX,Central
USVI,VI,Other
UT,UT,West
UTAH,UT,West
Utah,UT,West
VA,VA,East
va,VA,East
Va,VA,East
Va.,VA,East
Virginia,VA,East
VIRGINIA,VA,East
VT,VT,East
wa,WA,West
Wa,WA,West
WA,WA,West
WASHINGTON,WA,West
Washington,WA,West
WEST VIRGINIA,WV,East
WI,WI,Central
Wi,WI,Central
wi,WI,Central
Wisconsin,WI,Central
WV,WV,East
WY,WY,West
